name,category,expression,coverage,ic_mean,rank_ic_mean,icir,rank_icir,ic_positive_rate,annual_return,annual_volatility,sharpe,max_drawdown,mean_turnover,total_cost,final_net_value,warnings
momentum_20,classic,"Rank(close / Delay(close, 20) - 1)",0.9230769230769231,0.005181994677654258,0.003061514188242631,0.41504942685143675,0.2495440488467118,0.4811715481171548,0.029829549928140464,0.16182153064014237,0.26259971746496763,-0.1689358657429193,0.19461538461538463,0.050600000000000006,1.0307909537141804,[]
reversal_5,classic,"-Rank(close / Delay(close, 5) - 1)",0.9807692307692307,0.023335802268532334,0.02872132640817006,1.9415628111419392,2.4681570147860508,0.4921259842519685,0.021019029315199056,0.16825817116388622,0.20761656048644994,-0.15421358470339208,0.39153846153846156,0.1018,1.021693486821812,[]
low_volatility_20,classic,"-Rank(Std(close / Delay(close, 1) - 1, 20))",0.9230769230769231,-0.012537160826116412,-0.006587514718818215,-1.1745678048657535,-0.6307516386334864,0.4476987447698745,-0.07821028588122236,0.12718012204512133,-0.576694678370795,-0.17190759731002514,0.11769230769230768,0.030600000000000002,0.919409653799708,[]
volume_price_corr_20,classic,"-Rank(Corr(close, volume, 20))",0.926923076923077,0.021307741883789023,0.015164998146088245,1.791476707330914,1.3098571741426064,0.5291666666666667,0.06269784254875543,0.14715975105714915,0.48693458591710503,-0.17597862944778908,0.25461538461538463,0.06620000000000001,1.0647513642581476,[]
volume_expansion,classic,"Rank(Mean(volume, 5) / Mean(volume, 20) - 1)",0.926923076923077,0.013399779039034469,0.01125695216907675,1.1661674823929467,0.9936549548909549,0.5166666666666667,-0.0697698538509024,0.152466948648601,-0.3980580561616665,-0.1527928706555577,0.35461538461538455,0.0922,0.9280968097319117,[]
amihud_liquidity_20,classic,"-Rank(Mean(Abs(close / Delay(close, 1) - 1) / (amount + 1), 20))",0.9230769230769231,-0.013139649483513977,-0.013548294013338857,-1.2333748764473664,-1.2731433012890387,0.46443514644351463,-0.05365640785923742,0.14328901266999433,-0.3132172313149585,-0.16855873853858394,0.07461538461538461,0.0194,0.9446882022216155,[]
overnight_gap,classic,"Rank(open / Delay(close, 1) - 1)",0.9961538461538462,-0.0018601556416306295,0.0003932017487130397,-0.16347086834622968,0.034558658096612314,0.5387596899224806,-0.2289881413095025,0.1621030360144526,-1.5221681570198164,-0.2514731101861065,0.8353846153846154,0.21720000000000003,0.7646728921410386,[]
random_baseline_s143,random,"Rank(Corr(vwap, volume, 10)) + Rank(Delta(close, 2))",0.9653846153846154,-0.029923594857348874,-0.02132815503676297,-2.839809626743251,-2.0226274351787286,0.436,-0.23012865502652424,0.15873844401265697,-1.5671285860545987,-0.2806871144526172,0.5230769230769231,0.136,0.7635058736035916,[]
mock_llm_quality_momentum_v1,llm_single,"Rank(Mean(close / Delay(close, 1) - 1, 5)) - 0.3 * Rank(Std(close / Delay(close, 1) - 1, 10))",0.9615384615384616,-0.02302884504340138,-0.027645519869184957,-1.8958187372565904,-2.350112142406528,0.5180722891566265,-0.1761853415992024,0.15586277169328872,-1.1650451457285815,-0.24102931785473958,0.40461538461538465,0.1052,0.8187615440752302,[]
mock_llm_quality_momentum_feedback_v2,llm_feedback,"Rank(Mean(close / Delay(close, 1) - 1, 20)) - 0.5 * Rank(Std(close / Delay(close, 1) - 1, 20))",0.9230769230769231,-0.0015189572629593802,-0.002829064308759492,-0.12445930361171532,-0.2395195958007194,0.4686192468619247,-0.059031496959375485,0.1488124980355922,-0.33435214523313256,-0.14850478059396777,0.21615384615384617,0.05620000000000001,0.939152676250888,[]
