date,symbol,open,high,low,close,volume,amount,is_simulated,vwap
2023-01-03,000001.SZ,10.99,11.64,10.84,11.56,2194128,2971546989.04,False,1354.3179746304681
2023-01-03,000333.SZ,38.83,39.06,38.06,38.71,163628,846525405.02,False,5173.475230522893
2023-01-03,300750.SZ,196.28,196.59,190.57,194.97,104820,4056787273.0,False,38702.41626597977
2023-01-03,600000.SH,5.8,5.81,5.7,5.76,258925,187094064.0,False,722.5801448295839
2023-01-03,600519.SH,1551.84,1559.07,1526.65,1550.65,26034,4487760231.0,False,172380.74176077437
2023-01-04,000001.SZ,11.5,12.21,11.42,12.11,2189683,3110729449.03,False,1420.6300405264142
2023-01-04,000333.SZ,38.52,40.66,38.48,40.58,261341,1390708574.95,False,5321.432821294784
2023-01-04,300750.SZ,193.22,193.5,190.75,191.84,196023,7527791631.0,False,38402.59373134785
2023-01-04,600000.SH,5.8,5.88,5.76,5.84,309471,226321372.0,False,731.3168988370477
2023-01-04,600519.SH,1550.64,1559.34,1536.64,1545.65,20416,3523582306.0,False,172589.25871865204
2023-01-05,000001.SZ,12.19,12.53,12.16,12.27,1665425,2417272355.99,False,1451.4447399252442
2023-01-05,000333.SZ,40.83,41.82,40.78,41.74,294217,1608128838.06,False,5465.791704966062
2023-01-05,300750.SZ,194.06,206.37,192.39,204.89,260433,10371713857.0,False,39824.883394193515
2023-01-05,600000.SH,5.9,5.91,5.83,5.88,301622,221617355.0,False,734.7519577484401
2023-01-05,600519.SH,1557.64,1621.64,1553.64,1621.64,47943,8541587089.0,False,178161.29756168782
2023-01-06,000001.SZ,12.29,12.51,12.27,12.41,1195745,1747915169.26,False,1461.7791997959432
2023-01-06,000333.SZ,41.8,41.99,40.74,40.84,195001,1058139217.16,False,5426.327132476244
2023-01-06,300750.SZ,204.06,214.6,202.98,209.98,183925,7641585134.0,False,41547.28902541797
2023-01-06,600000.SH,5.88,5.91,5.84,5.87,203129,149170538.0,False,734.363571917353
2023-01-06,600519.SH,1626.76,1632.54,1607.64,1624.41,24904,4480838898.0,False,179924.4658689367
2023-01-09,000001.SZ,12.54,12.67,12.31,12.59,1057659,1561368487.3,False,1476.2494218836127
2023-01-09,000333.SZ,40.93,41.28,40.23,40.94,204277,1101325466.48,False,5391.333662037332
2023-01-09,300750.SZ,213.43,213.43,208.5,209.94,128403,5373244035.0,False,41846.71724959697
2023-01-09,600000.SH,5.91,5.91,5.83,5.87,196123,143998211.0,False,734.2239869877577
2023-01-09,600519.SH,1655.64,1670.62,1628.46,1661.84,30977,5684181147.0,False,183496.82496691094
2023-01-10,000001.SZ,12.55,12.68,12.18,12.23,1269423,1851093716.76,False,1458.216620275511
2023-01-10,000333.SZ,40.82,41.23,40.26,40.33,154340,829875435.25,False,5376.930382596864
2023-01-10,300750.SZ,210.53,220.17,208.11,218.5,182607,7781973489.0,False,42615.964826101954
2023-01-10,600000.SH,5.88,5.88,5.81,5.81,161946,118223822.0,False,730.0200190186853
2023-01-10,600519.SH,1659.7,1685.14,1651.14,1675.09,22732,4204783734.0,False,184972.01011789546
2023-01-11,000001.SZ,12.24,12.57,12.18,12.46,830566,1217450811.64,False,1465.808631270724
2023-01-11,000333.SZ,40.28,42.01,40.23,41.33,214610,1171606255.18,False,5459.234216392526
